Analyzing 2 items...                                            

  error - 'muscleGroups' isn't a field in the enclosing class - lib\presentation\widgets\workout\anatomical_muscle_view.dart:13:5 - initializing_formal_for_non_existent_field
  error - 'height' isn't a field in the enclosing class - lib\presentation\widgets\workout\anatomical_muscle_view.dart:14:5 - initializing_formal_for_non_existent_field
  error - 'highlightColor' isn't a field in the enclosing class - lib\presentation\widgets\workout\anatomical_muscle_view.dart:15:5 - initializing_formal_for_non_existent_field
  error - The getter 'muscleGroups' isn't defined for the type 'AnatomicalMuscleView' - lib\presentation\widgets\workout\anatomical_muscle_view.dart:36:19 - undefined_getter
  error - The getter 'muscleGroups' isn't defined for the type 'AnatomicalMuscleView' - lib\presentation\widgets\workout\anatomical_muscle_view.dart:36:42 - undefined_getter
  error - The getter 'highlightColor' isn't defined for the type 'AnatomicalMuscleView' - lib\presentation\widgets\workout\anatomical_muscle_view.dart:37:19 - undefined_getter
  error - The getter 'highlightColor' isn't defined for the type 'AnatomicalMuscleView' - lib\presentation\widgets\workout\anatomical_muscle_view.dart:37:44 - undefined_getter
  error - The getter 'muscleGroups' isn't defined for the type 'AnatomicalMuscleView' - lib\presentation\widgets\workout\anatomical_muscle_view.dart:67:60 - undefined_getter
  error - The getter 'highlightColor' isn't defined for the type 'AnatomicalMuscleView' - lib\presentation\widgets\workout\anatomical_muscle_view.dart:69:24 - undefined_getter
  error - The getter 'height' isn't defined for the type 'AnatomicalMuscleView' - lib\presentation\widgets\workout\anatomical_muscle_view.dart:200:24 - undefined_getter
  error - The getter 'highlightColor' isn't defined for the type 'AnatomicalMuscleView' - lib\presentation\widgets\workout\anatomical_muscle_view.dart:209:64 - undefined_getter
  error - The getter 'muscleGroups' isn't defined for the type 'AnatomicalMuscleView' - lib\presentation\widgets\workout\anatomical_muscle_view.dart:212:22 - undefined_getter
  error - The getter 'highlightColor' isn't defined for the type 'AnatomicalMuscleView' - lib\presentation\widgets\workout\anatomical_muscle_view.dart:216:31 - undefined_getter
  error - The getter 'height' isn't defined for the type 'AnatomicalMuscleView' - lib\presentation\widgets\workout\anatomical_muscle_view.dart:226:24 - undefined_getter
  error - The getter 'height' isn't defined for the type 'AnatomicalMuscleView' - lib\presentation\widgets\workout\anatomical_muscle_view.dart:233:22 - undefined_getter
  error - The getter 'height' isn't defined for the type 'AnatomicalMuscleView' - lib\presentation\widgets\workout\anatomical_muscle_view.dart:242:26 - undefined_getter

